% the image size for this sample is: (320x240)
% the image format for this sample is: (Y, Cb, Cr)
% y = ax + b => the data has written in this format: a, b, confidence
-0.129, 180, 55
0.055, 168, 55
0.231, 147, 63
1.681, 118, 79
1.68, 148, 86
1.689, 93, 67
