% the image size for this sample is: (320x240)
% the image format for this sample is: (Y, Cb, Cr)
% y = ax + b => the data has written in this format: a, b, confidence
-0.175, 175, 52
-0.003, 159, 105
0.164, 139, 56
1.569, 148, 108
1.569, 120, 79
1.569, 97, 135
